From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q6URW6	Q6URW6	reviewed	MYH14_MOUSE	Myosin-14 (Myosin heavy chain 14) (Myosin heavy chain, non-muscle IIc) (Non-muscle myosin heavy chain IIc) (NMHC II-C)	Myh14	Mus musculus (Mouse)	2000
Q52KI8	Q52KI8	reviewed	SRRM1_MOUSE	Serine/arginine repetitive matrix protein 1 (Plenty-of-prolines 101)	Srrm1 Pop101	Mus musculus (Mouse)	946
E9PVA8	E9PVA8	reviewed	GCN1_MOUSE	Stalled ribosome sensor GCN1 (GCN1 eIF-2-alpha kinase activator homolog) (GCN1-like protein 1) (General control of amino-acid synthesis 1-like protein 1) (Translational activator GCN1)	Gcn1 Gcn1l1	Mus musculus (Mouse)	2671
P63038	P63038	reviewed	CH60_MOUSE	60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (HSP-65) (Heat shock protein 60) (HSP-60) (Hsp60) (Mitochondrial matrix protein P1)	Hspd1 Hsp60	Mus musculus (Mouse)	573
F6ZDS4	F6ZDS4	reviewed	TPR_MOUSE	Nucleoprotein TPR (NPC-associated intranuclear protein) (Translocated promoter region and nuclear basket protein)	Tpr	Mus musculus (Mouse)	2431
P63017	P63017	reviewed	HSP7C_MOUSE	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8)	Hspa8 Hsc70 Hsc73	Mus musculus (Mouse)	646
P08113	P08113	reviewed	ENPL_MOUSE	Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Endoplasmic reticulum resident protein 99) (ERp99) (Heat shock protein 90 kDa beta member 1) (Polymorphic tumor rejection antigen 1) (Tumor rejection antigen gp96)	Hsp90b1 Grp94 Tra-1 Tra1	Mus musculus (Mouse)	802
E9Q7G0	E9Q7G0	reviewed	NUMA1_MOUSE	Nuclear mitotic apparatus protein 1 (Nuclear mitotic apparatus protein) (NuMA protein)	Numa1	Mus musculus (Mouse)	2094
P26039	P26039	reviewed	TLN1_MOUSE	Talin-1	Tln1 Tln	Mus musculus (Mouse)	2541
A2AN08	A2AN08	reviewed	UBR4_MOUSE	E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (N-recognin-4) (RING-type E3 ubiquitin transferase UBR4) (Zinc finger UBR1-type protein 1) (p600)	Ubr4 Kiaa0462 Zubr1	Mus musculus (Mouse)	5180
Q9JKF1	Q9JKF1	reviewed	IQGA1_MOUSE	Ras GTPase-activating-like protein IQGAP1	Iqgap1	Mus musculus (Mouse)	1657
Q9QYR6	Q9QYR6	reviewed	MAP1A_MOUSE	Microtubule-associated protein 1A (MAP-1A) [Cleaved into: MAP1A heavy chain; MAP1 light chain LC2]	Map1a Mtap1 Mtap1a	Mus musculus (Mouse)	2776
E9Q555	E9Q555	reviewed	RN213_MOUSE	E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (E3 ubiquitin-lipopolysaccharide ligase RNF213) (EC 2.3.2.-) (Mysterin) (RING finger protein 213)	Rnf213 Mystr	Mus musculus (Mouse)	5148
P56480	P56480	reviewed	ATPB_MOUSE	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)	Atp5f1b Atp5b	Mus musculus (Mouse)	529
P58252	P58252	reviewed	EF2_MOUSE	Elongation factor 2 (EF-2) (EC 3.6.5.-)	Eef2	Mus musculus (Mouse)	858
Q6P4T2	Q6P4T2	reviewed	U520_MOUSE	U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD)	Snrnp200 Kiaa0788	Mus musculus (Mouse)	2136
Q6PDQ2	Q6PDQ2	reviewed	CHD4_MOUSE	Chromodomain-helicase-DNA-binding protein 4 (CHD-4) (EC 3.6.4.12)	Chd4	Mus musculus (Mouse)	1915
P20029	P20029	reviewed	BIP_MOUSE	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	Hspa5 Grp78	Mus musculus (Mouse)	655
Q8CGC7	Q8CGC7	reviewed	SYEP_MOUSE	Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)]	Eprs1 Eprs Qprs	Mus musculus (Mouse)	1512
P25206	P25206	reviewed	MCM3_MOUSE	DNA replication licensing factor MCM3 (EC 3.6.4.12) (DNA polymerase alpha holoenzyme-associated protein P1) (P1-MCM3)	Mcm3 Mcmd Mcmd3	Mus musculus (Mouse)	812
Q99PV0	Q99PV0	reviewed	PRP8_MOUSE	Pre-mRNA-processing-splicing factor 8 (Splicing factor Prp8)	Prpf8 Prp8	Mus musculus (Mouse)	2335
P52480	P52480	reviewed	KPYM_MOUSE	Pyruvate kinase PKM (EC 2.7.1.40) (Pyruvate kinase muscle isozyme) (Threonine-protein kinase PKM2) (EC 2.7.11.1) (Tyrosine-protein kinase PKM2) (EC 2.7.10.2)	Pkm Pk3 Pkm2 Pykm	Mus musculus (Mouse)	531
E9PVX6	E9PVX6	reviewed	KI67_MOUSE	Proliferation marker protein Ki-67 (Antigen identified by monoclonal antibody Ki-67 homolog) (Antigen KI-67 homolog) (Antigen Ki67 homolog)	Mki67	Mus musculus (Mouse)	3177
P23116	P23116	reviewed	EIF3A_MOUSE	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Centrosomin) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185) (p162)	Eif3a Csma Eif3 Eif3s10	Mus musculus (Mouse)	1344
Q02053	Q02053	reviewed	UBA1_MOUSE	Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Ubiquitin-activating enzyme E1) (Ubiquitin-activating enzyme E1 X) (Ubiquitin-like modifier-activating enzyme 1 X)	Uba1 Sbx Ube1 Ube1ax Ube1x	Mus musculus (Mouse)	1058
P70399	P70399	reviewed	TP53B_MOUSE	TP53-binding protein 1 (53BP1) (p53-binding protein 1) (p53BP1)	Tp53bp1 Trp53bp1	Mus musculus (Mouse)	1969
Q9ERU9	Q9ERU9	reviewed	RBP2_MOUSE	E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (Ran-binding protein 2) (RanBP2)	Ranbp2	Mus musculus (Mouse)	3053
Q7TPV4	Q7TPV4	reviewed	MBB1A_MOUSE	Myb-binding protein 1A (Myb-binding protein of 160 kDa)	Mybbp1a P160	Mus musculus (Mouse)	1344
P14733	P14733	reviewed	LMNB1_MOUSE	Lamin-B1	Lmnb1	Mus musculus (Mouse)	588
Q61316	Q61316	reviewed	HSP74_MOUSE	Heat shock 70 kDa protein 4 (Heat shock 70-related protein APG-2)	Hspa4 Apg2 Hsp110	Mus musculus (Mouse)	841
Q8JZQ9	Q8JZQ9	reviewed	EIF3B_MOUSE	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9) (eIF-3-eta) (eIF3 p116)	Eif3b Eif3s9	Mus musculus (Mouse)	803
Q01853	Q01853	reviewed	TERA_MOUSE	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	Vcp	Mus musculus (Mouse)	806
Q9JKR6	Q9JKR6	reviewed	HYOU1_MOUSE	Hypoxia up-regulated protein 1 (GRP-170) (140 kDa Ca(2+)-binding protein) (CBP-140)	Hyou1 Grp170	Mus musculus (Mouse)	999
Q8VDN2	Q8VDN2	reviewed	AT1A1_MOUSE	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1)	Atp1a1	Mus musculus (Mouse)	1023
Q64511	Q64511	reviewed	TOP2B_MOUSE	DNA topoisomerase 2-beta (EC 5.6.2.2) (DNA topoisomerase II, beta isozyme)	Top2b	Mus musculus (Mouse)	1612
P17182	P17182	reviewed	ENOA_MOUSE	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 1) (Non-neural enolase) (NNE)	Eno1 Eno-1	Mus musculus (Mouse)	434
Q8K009	Q8K009	reviewed	AL1L2_MOUSE	Mitochondrial 10-formyltetrahydrofolate dehydrogenase (Mitochondrial 10-FTHFDH) (mtFDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L2)	Aldh1l2	Mus musculus (Mouse)	923
P38647	P38647	reviewed	GRP75_MOUSE	Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (Peptide-binding protein 74) (PBP74) (p66 MOT)	Hspa9 Grp75 Hsp74 Hspa9a	Mus musculus (Mouse)	679
P48678	P48678	reviewed	LMNA_MOUSE	Prelamin-A/C [Cleaved into: Lamin-A/C]	Lmna Lmn1	Mus musculus (Mouse)	665
Q569Z6	Q569Z6	reviewed	TR150_MOUSE	Thyroid hormone receptor-associated protein 3 (Thyroid hormone receptor-associated protein complex 150 kDa component) (Trap150)	Thrap3 Trap150	Mus musculus (Mouse)	951
P09411	P09411	reviewed	PGK1_MOUSE	Phosphoglycerate kinase 1 (EC 2.7.2.3)	Pgk1 Pgk-1	Mus musculus (Mouse)	417
Q9JIK5	Q9JIK5	reviewed	DDX21_MOUSE	Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu)	Ddx21	Mus musculus (Mouse)	851
Q99JF8	Q99JF8	reviewed	PSIP1_MOUSE	PC4 and SFRS1-interacting protein (Lens epithelium-derived growth factor) (mLEDGF)	Psip1 Ledgf	Mus musculus (Mouse)	528
Q61687	Q61687	reviewed	ATRX_MOUSE	Transcriptional regulator ATRX (EC 3.6.4.12) (ATP-dependent helicase ATRX) (HP1 alpha-interacting protein) (HP1-BP38 protein) (Heterochromatin protein 2) (X-linked nuclear protein)	Atrx Hp1bp2 Xnp	Mus musculus (Mouse)	2476
Q61033	Q61033	reviewed	LAP2A_MOUSE	Lamina-associated polypeptide 2, isoforms alpha/zeta (Thymopoietin isoforms alpha/zeta) (TP alpha/zeta)	Tmpo Lap2	Mus musculus (Mouse)	693
Q05D44	Q05D44	reviewed	IF2P_MOUSE	Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2)	Eif5b If2	Mus musculus (Mouse)	1216
Q9CW03	Q9CW03	reviewed	SMC3_MOUSE	Structural maintenance of chromosomes protein 3 (SMC protein 3) (SMC-3) (Basement membrane-associated chondroitin proteoglycan) (Bamacan) (Chondroitin sulfate proteoglycan 6) (Chromosome segregation protein SmcD) (Mad member-interacting protein 1)	Smc3 Bam Bmh Cspg6 Mmip1 Smc3l1 Smcd	Mus musculus (Mouse)	1217
Q99MD9	Q99MD9	reviewed	NASP_MOUSE	Nuclear autoantigenic sperm protein (NASP)	Nasp	Mus musculus (Mouse)	773
B2RQC6	B2RQC6	reviewed	PYR1_MOUSE	CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)]	Cad	Mus musculus (Mouse)	2225
Q6NZJ6	Q6NZJ6	reviewed	IF4G1_MOUSE	Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1)	Eif4g1	Mus musculus (Mouse)	1600
P10126	P10126	reviewed	EF1A1_MOUSE	Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1)	Eef1a1 Eef1a	Mus musculus (Mouse)	462
Q8BI84	Q8BI84	reviewed	TGO1_MOUSE	Transport and Golgi organization protein 1 homolog (TANGO1) (Melanoma inhibitory activity protein 3)	Mia3 Kiaa0268 Tango	Mus musculus (Mouse)	1930
Q61768	Q61768	reviewed	KINH_MOUSE	Kinesin-1 heavy chain (Conventional kinesin heavy chain) (Ubiquitous kinesin heavy chain) (UKHC)	Kif5b Khcs Kns1	Mus musculus (Mouse)	963
P57780	P57780	reviewed	ACTN4_MOUSE	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	Actn4	Mus musculus (Mouse)	912
P20357	P20357	reviewed	MTAP2_MOUSE	Microtubule-associated protein 2 (MAP-2)	Map2 Mtap2	Mus musculus (Mouse)	1828
P13864	P13864	reviewed	DNMT1_MOUSE	DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (Met-1) (EC 2.1.1.37) (DNA methyltransferase MmuI) (DNA MTase MmuI) (M.MmuI) (MCMT)	Dnmt1 Dnmt Met1 Uim	Mus musculus (Mouse)	1620
Q8BTM8	Q8BTM8	reviewed	FLNA_MOUSE	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)	Flna Fln Fln1	Mus musculus (Mouse)	2647
Q9ER72	Q9ER72	reviewed	SYCC_MOUSE	Cysteine--tRNA ligase, cytoplasmic (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	Cars1 Cars	Mus musculus (Mouse)	831
P09405	P09405	reviewed	NUCL_MOUSE	Nucleolin (Protein C23)	Ncl Nuc	Mus musculus (Mouse)	707
Q4VA53	Q4VA53	reviewed	PDS5B_MOUSE	Sister chromatid cohesion protein PDS5 homolog B (Androgen-induced proliferation inhibitor) (Androgen-induced prostate proliferative shutoff-associated protein AS3)	Pds5b Aprin As3 Kiaa0979	Mus musculus (Mouse)	1446
P97310	P97310	reviewed	MCM2_MOUSE	DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2 homolog) (Nuclear protein BM28)	Mcm2 Bm28 Cdcl1 Kiaa0030 Mcmd2	Mus musculus (Mouse)	904
Q6PB66	Q6PB66	reviewed	LPPRC_MOUSE	Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (mLRP130)	Lrpprc Lrp130	Mus musculus (Mouse)	1392
P26231	P26231	reviewed	CTNA1_MOUSE	Catenin alpha-1 (102 kDa cadherin-associated protein) (Alpha E-catenin) (CAP102)	Ctnna1 Catna1	Mus musculus (Mouse)	906
Q9WUA3	Q9WUA3	reviewed	PFKAP_MOUSE	ATP-dependent 6-phosphofructokinase, platelet type (ATP-PFK) (PFK-P) (EC 2.7.1.11) (6-phosphofructokinase type C) (Phosphofructo-1-kinase isozyme C) (PFK-C) (Phosphohexokinase)	Pfkp Pfkc	Mus musculus (Mouse)	784
O08788	O08788	reviewed	DCTN1_MOUSE	Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (DAP-150) (DP-150) (p150-glued)	Dctn1	Mus musculus (Mouse)	1281
Q01320	Q01320	reviewed	TOP2A_MOUSE	DNA topoisomerase 2-alpha (EC 5.6.2.2) (DNA topoisomerase II, alpha isozyme)	Top2a Top-2 Top2	Mus musculus (Mouse)	1528
Q6ZQ38	Q6ZQ38	reviewed	CAND1_MOUSE	Cullin-associated NEDD8-dissociated protein 1 (Cullin-associated and neddylation-dissociated protein 1) (p120 CAND1)	Cand1 D10Ertd516e Kiaa0829	Mus musculus (Mouse)	1230
Q61699	Q61699	reviewed	HS105_MOUSE	Heat shock protein 105 kDa (42 degrees C-HSP) (Heat shock 110 kDa protein) (Heat shock-related 100 kDa protein E7I) (HSP-E7I)	Hsph1 Hsp105 Hsp110 Kiaa0201	Mus musculus (Mouse)	858
Q9JIX8	Q9JIX8	reviewed	ACINU_MOUSE	Apoptotic chromatin condensation inducer in the nucleus (Acinus)	Acin1 Acinus	Mus musculus (Mouse)	1338
O55143	O55143	reviewed	AT2A2_MOUSE	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 7.2.2.10) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)	Atp2a2	Mus musculus (Mouse)	1044
P80314	P80314	reviewed	TCPB_MOUSE	T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta)	Cct2 Cctb	Mus musculus (Mouse)	535
P27773	P27773	reviewed	PDIA3_MOUSE	Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)	Pdia3 Erp Erp60 Grp58	Mus musculus (Mouse)	505
Q9D0I9	Q9D0I9	reviewed	SYRC_MOUSE	Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	Rars1 Rars	Mus musculus (Mouse)	660
Q99NB9	Q99NB9	reviewed	SF3B1_MOUSE	Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155)	Sf3b1 Sap155	Mus musculus (Mouse)	1304
Q91V92	Q91V92	reviewed	ACLY_MOUSE	ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (Citrate cleavage enzyme)	Acly	Mus musculus (Mouse)	1091
P58871	P58871	reviewed	TB182_MOUSE	182 kDa tankyrase-1-binding protein	Tnks1bp1 Kiaa1741 Tab182	Mus musculus (Mouse)	1720
Q7TPR4	Q7TPR4	reviewed	ACTN1_MOUSE	Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)	Actn1	Mus musculus (Mouse)	892
P60843	P60843	reviewed	IF4A1_MOUSE	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	Eif4a1 Ddx2a Eif4a	Mus musculus (Mouse)	406
P09103	P09103	reviewed	PDIA1_MOUSE	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Endoplasmic reticulum resident protein 59) (ER protein 59) (ERp59) (Prolyl 4-hydroxylase subunit beta) (p55)	P4hb Pdia1	Mus musculus (Mouse)	509
Q9CU62	Q9CU62	reviewed	SMC1A_MOUSE	Structural maintenance of chromosomes protein 1A (SMC protein 1A) (SMC-1-alpha) (SMC-1A) (Chromosome segregation protein SmcB) (Sb1.8)	Smc1a Sb1.8 Smc1 Smc1l1 Smcb	Mus musculus (Mouse)	1233
Q60864	Q60864	reviewed	STIP1_MOUSE	Stress-induced-phosphoprotein 1 (STI1) (mSTI1) (Hsc70/Hsp90-organizing protein) (Hop)	Stip1	Mus musculus (Mouse)	543
A2AGT5	A2AGT5	reviewed	CKAP5_MOUSE	Cytoskeleton-associated protein 5	Ckap5	Mus musculus (Mouse)	2032
Q6PDI5	Q6PDI5	reviewed	ECM29_MOUSE	Proteasome adapter and scaffold protein ECM29 (Proteasome-associated protein ECM29 homolog)	Ecpas Ecm29 Kiaa0368	Mus musculus (Mouse)	1840
P08003	P08003	reviewed	PDIA4_MOUSE	Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72)	Pdia4 Cai Erp72	Mus musculus (Mouse)	638
P14824	P14824	reviewed	ANXA6_MOUSE	Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)	Anxa6 Anx6	Mus musculus (Mouse)	673
P35564	P35564	reviewed	CALX_MOUSE	Calnexin	Canx	Mus musculus (Mouse)	591
P68369	P68369	reviewed	TBA1A_MOUSE	Tubulin alpha-1A chain (EC 3.6.5.-) (Alpha-tubulin 1) (Alpha-tubulin isotype M-alpha-1) (Tubulin alpha-1 chain) [Cleaved into: Detyrosinated tubulin alpha-1A chain]	Tuba1a Tuba1	Mus musculus (Mouse)	451
Q6P542	Q6P542	reviewed	ABCF1_MOUSE	ATP-binding cassette sub-family F member 1	Abcf1	Mus musculus (Mouse)	837
Q9Z110	Q9Z110	reviewed	P5CS_MOUSE	Delta-1-pyrroline-5-carboxylate synthase (P5CS) (Aldehyde dehydrogenase family 18 member A1) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]	Aldh18a1 P5cs Pycs	Mus musculus (Mouse)	795
Q5SWU9	Q5SWU9	reviewed	ACACA_MOUSE	Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (ACC-alpha) (Acetyl-CoA carboxylase 265)	Acaca Acac Gm738	Mus musculus (Mouse)	2345
Q8K019	Q8K019	reviewed	BCLF1_MOUSE	Bcl-2-associated transcription factor 1 (Btf)	Bclaf1 Btf Kiaa0164	Mus musculus (Mouse)	919
P16858	P16858	reviewed	G3P_MOUSE	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	Gapdh Gapd	Mus musculus (Mouse)	333
Q8VDM4	Q8VDM4	reviewed	PSMD2_MOUSE	26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97)	Psmd2	Mus musculus (Mouse)	908
Q7TSC1	Q7TSC1	reviewed	PRC2A_MOUSE	Protein PRRC2A (HLA-B-associated transcript 2) (Proline-rich and coiled-coil-containing protein 2A)	Prrc2a Bat2	Mus musculus (Mouse)	2158
P40142	P40142	reviewed	TKT_MOUSE	Transketolase (TK) (EC 2.2.1.1) (P68)	Tkt	Mus musculus (Mouse)	623
Q8BMJ2	Q8BMJ2	reviewed	SYLC_MOUSE	Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	Lars1 Lars	Mus musculus (Mouse)	1178
Q3TXS7	Q3TXS7	reviewed	PSMD1_MOUSE	26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1)	Psmd1	Mus musculus (Mouse)	953
Q61029	Q61029	reviewed	LAP2B_MOUSE	Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma (Thymopoietin isoforms beta/delta/epsilon/gamma) (TP beta/delta/epsilon/gamma)	Tmpo Lap2	Mus musculus (Mouse)	452
Q6ZQ58	Q6ZQ58	reviewed	LARP1_MOUSE	La-related protein 1 (La ribonucleoprotein domain family member 1)	Larp1 Kiaa0731 Larp	Mus musculus (Mouse)	1072
Q8BMS1	Q8BMS1	reviewed	ECHA_MOUSE	Trifunctional enzyme subunit alpha, mitochondrial (Monolysocardiolipin acyltransferase) (EC 2.3.1.-) (TP-alpha) [Includes: Long-chain enoyl-CoA hydratase (EC 4.2.1.17); Long chain 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.211)]	Hadha	Mus musculus (Mouse)	763
P97311	P97311	reviewed	MCM6_MOUSE	DNA replication licensing factor MCM6 (EC 3.6.4.12) (Mis5 homolog)	Mcm6 Mcmd6 Mis5	Mus musculus (Mouse)	821
