From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q9WTR5	Q9WTR5	reviewed	CAD13_MOUSE	Cadherin-13 (Heart cadherin) (H-cadherin) (Truncated cadherin) (T-cad) (T-cadherin)	Cdh13	Mus musculus (Mouse)	714
Q9Z2B9	Q9Z2B9	reviewed	KS6A4_MOUSE	Ribosomal protein S6 kinase alpha-4 (S6K-alpha-4) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 4) (Nuclear mitogen- and stress-activated protein kinase 2) (RSK-like protein kinase) (RLSK)	Rps6ka4 Msk2	Mus musculus (Mouse)	773
Q6EDY6	Q6EDY6	reviewed	CARL1_MOUSE	F-actin-uncapping protein LRRC16A (CARMIL homolog) (Capping protein regulator and myosin 1 linker protein 1) (Capping protein, Arp2/3 and myosin-I linker homolog 1) (Capping protein, Arp2/3 and myosin-I linker protein 1) (CARML1) (Leucine-rich repeat-containing protein 16A)	Carmil1 Carmil Lrrc16 Lrrc16a	Mus musculus (Mouse)	1374
Q8K1S6	Q8K1S6	reviewed	SPIR2_MOUSE	Protein spire homolog 2 (Spir-2)	Spire2 spir-2	Mus musculus (Mouse)	718
A2A5R2	A2A5R2	reviewed	BIG2_MOUSE	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2) (ADP-ribosylation factor guanine nucleotide-exchange factor 2)	Arfgef2 Arfgep2 Big2	Mus musculus (Mouse)	1792
Q9Z277	Q9Z277	reviewed	BAZ1B_MOUSE	Tyrosine-protein kinase BAZ1B (EC 2.7.10.2) (Bromodomain adjacent to zinc finger domain protein 1B) (Williams syndrome transcription factor homolog) (Williams-Beuren syndrome chromosomal region 9 protein homolog)	Baz1b Wbscr9 Wstf	Mus musculus (Mouse)	1479
Q922G2	Q922G2	reviewed	FA76A_MOUSE	Protein FAM76A	Fam76a	Mus musculus (Mouse)	307
Q6PFQ7	Q6PFQ7	reviewed	RASL2_MOUSE	Ras GTPase-activating protein 4 (Calcium-promoted Ras inactivator) (Ras p21 protein activator 4) (RasGAP-activating-like protein 2)	Rasa4 Capri Kiaa0538	Mus musculus (Mouse)	802
Q6NS60	Q6NS60	reviewed	FBX41_MOUSE	F-box only protein 41	Fbxo41 D6Ertd538e Kiaa1940	Mus musculus (Mouse)	873
Q8K019	Q8K019	reviewed	BCLF1_MOUSE	Bcl-2-associated transcription factor 1 (Btf)	Bclaf1 Btf Kiaa0164	Mus musculus (Mouse)	919
E9Q5C9	E9Q5C9	reviewed	NOLC1_MOUSE	Nucleolar and coiled-body phosphoprotein 1 (140 kDa nucleolar phosphoprotein) (Nopp140)	Nolc1 Kiaa0035	Mus musculus (Mouse)	702
Q8R4D5	Q8R4D5	reviewed	TRPM8_MOUSE	Transient receptor potential cation channel subfamily M member 8 (Long transient receptor potential channel 6) (LTrpC-6) (LTrpC6) (Transient receptor potential p8) (Trp-p8)	Trpm8 Ltrpc6 Trpp8	Mus musculus (Mouse)	1104
Q922M5	Q922M5	reviewed	CDA7L_MOUSE	Cell division cycle-associated 7-like protein (Transcription factor RAM2)	Cdca7l	Mus musculus (Mouse)	438
E9Q7G0	E9Q7G0	reviewed	NUMA1_MOUSE	Nuclear mitotic apparatus protein 1 (Nuclear mitotic apparatus protein) (NuMA protein)	Numa1	Mus musculus (Mouse)	2094
O88513	O88513	reviewed	GEMI_MOUSE	Geminin	Gmnn	Mus musculus (Mouse)	206
Q8QZV7	Q8QZV7	reviewed	INT13_MOUSE	Integrator complex subunit 13 (Cell cycle regulator Mat89Bb homolog) (Protein asunder homolog) (Spermatogenesis-associated protein 30)	IntS13 Asun Spata30	Mus musculus (Mouse)	732
Q9Z2V6	Q9Z2V6	reviewed	HDAC5_MOUSE	Histone deacetylase 5 (HD5) (EC 3.5.1.98) (Histone deacetylase mHDA1)	Hdac5	Mus musculus (Mouse)	1113
Q91YN1	Q91YN1	reviewed	F118A_MOUSE	Protein FAM118A	Fam118a	Mus musculus (Mouse)	357
Q7TPV4	Q7TPV4	reviewed	MBB1A_MOUSE	Myb-binding protein 1A (Myb-binding protein of 160 kDa)	Mybbp1a P160	Mus musculus (Mouse)	1344
Q9JJ66	Q9JJ66	reviewed	CDC20_MOUSE	Cell division cycle protein 20 homolog (mmCdc20) (p55CDC)	Cdc20	Mus musculus (Mouse)	499
Q9CYX7	Q9CYX7	reviewed	RRP15_MOUSE	RRP15-like protein (Ribosomal RNA-processing protein 15)	Rrp15	Mus musculus (Mouse)	281
Q5SVL6	Q5SVL6	reviewed	RPGP2_MOUSE	Rap1 GTPase-activating protein 2 (Rap1GAP2) (GTPase-activating Rap/Ran-GAP domain-like protein 4)	Rap1gap2 Garnl4 Kiaa1039 Rap1ga2	Mus musculus (Mouse)	712
Q8C811	Q8C811	reviewed	S35E2_MOUSE	Solute carrier family 35 member E2A	Slc35e2a Slc35e2	Mus musculus (Mouse)	405
Q3UE31	Q3UE31	reviewed	K0930_MOUSE	Uncharacterized protein KIAA0930 homolog		Mus musculus (Mouse)	404
Q8CH77	Q8CH77	reviewed	NAV1_MOUSE	Neuron navigator 1 (Pore membrane and/or filament-interacting-like protein 3)	Nav1 Kiaa1151 Pomfil3	Mus musculus (Mouse)	1875
Q61846	Q61846	reviewed	MELK_MOUSE	Maternal embryonic leucine zipper kinase (EC 2.7.11.1) (Protein kinase PK38) (mPK38) (Tyrosine-protein kinase MELK) (EC 2.7.10.2)	Melk Kiaa0175 Pk38	Mus musculus (Mouse)	643
O54826	O54826	reviewed	AF10_MOUSE	Protein AF-10	Mllt10 Af10	Mus musculus (Mouse)	1068
Q9JIX8	Q9JIX8	reviewed	ACINU_MOUSE	Apoptotic chromatin condensation inducer in the nucleus (Acinus)	Acin1 Acinus	Mus musculus (Mouse)	1338
O08539	O08539	reviewed	BIN1_MOUSE	Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Bridging integrator 1) (SH3 domain-containing protein 9)	Bin1 Amphl Sh3p9	Mus musculus (Mouse)	588
P41183	P41183	reviewed	BCL6_MOUSE	B-cell lymphoma 6 protein homolog	Bcl6 Bcl-6	Mus musculus (Mouse)	707
Q8C437	Q8C437	reviewed	PEX5R_MOUSE	PEX5-related protein (PEX2-related protein) (PEX5-like protein) (Peroxin-5-related protein) (Tetratricopeptide repeat-containing Rab8b-interacting protein) (Pex5Rp) (TRIP8b)	Pex5l Pex2 Pex5r Pxr2	Mus musculus (Mouse)	567
Q9EPC1	Q9EPC1	reviewed	PARVA_MOUSE	Alpha-parvin (Actopaxin)	Parva Actp MNCb-0301	Mus musculus (Mouse)	372
Q6ZQ58	Q6ZQ58	reviewed	LARP1_MOUSE	La-related protein 1 (La ribonucleoprotein domain family member 1)	Larp1 Kiaa0731 Larp	Mus musculus (Mouse)	1072
Q9D8W5	Q9D8W5	reviewed	PSD12_MOUSE	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	Psmd12	Mus musculus (Mouse)	456
Q99PU7	Q99PU7	reviewed	BAP1_MOUSE	Ubiquitin carboxyl-terminal hydrolase BAP1 (EC 3.4.19.12) (BRCA1-associated protein 1) (Ubiquitin C-terminal hydrolase X4) (UCH-X4)	Bap1 Kiaa0272	Mus musculus (Mouse)	728
P00329	P00329	reviewed	ADH1_MOUSE	Alcohol dehydrogenase 1 (EC 1.1.1.1) (ADH-A2) (Alcohol dehydrogenase A subunit)	Adh1 Adh-1	Mus musculus (Mouse)	375
Q923S6	Q923S6	reviewed	NEUL1_MOUSE	E3 ubiquitin-protein ligase NEURL1 (EC 2.3.2.27) (Neuralized-like protein 1A) (m-neu1) (m-neuralized 1) (Neuralized1) (RING-type E3 ubiquitin transferase NEURL1)	Neurl1 Neurl Neurl1a	Mus musculus (Mouse)	574
E9Q1P8	E9Q1P8	reviewed	I2BP2_MOUSE	Interferon regulatory factor 2-binding protein 2 (IRF-2-binding protein 2) (IRF-2BP2)	Irf2bp2	Mus musculus (Mouse)	570
Q6PCQ0	Q6PCQ0	reviewed	IQCE_MOUSE	IQ domain-containing protein E	Iqce	Mus musculus (Mouse)	778
Q8BVE8	Q8BVE8	reviewed	NSD2_MOUSE	Histone-lysine N-methyltransferase NSD2 (EC 2.1.1.357) (Multiple myeloma SET domain-containing protein) (MMSET) (Nuclear SET domain-containing protein 2) (Wolf-Hirschhorn syndrome candidate 1 protein homolog)	Nsd2 Kiaa1090 Whsc1	Mus musculus (Mouse)	1365
Q8CC35	Q8CC35	reviewed	SYNPO_MOUSE	Synaptopodin	Synpo Kiaa1029	Mus musculus (Mouse)	929
Q52KI8	Q52KI8	reviewed	SRRM1_MOUSE	Serine/arginine repetitive matrix protein 1 (Plenty-of-prolines 101)	Srrm1 Pop101	Mus musculus (Mouse)	946
O08550	O08550	reviewed	KMT2B_MOUSE	Histone-lysine N-methyltransferase 2B (Lysine N-methyltransferase 2B) (EC 2.1.1.364) (Myeloid/lymphoid or mixed-lineage leukemia protein 4 homolog) (Trithorax homolog 2) (WW domain-binding protein 7) (WBP-7)	Kmt2b Mll2 Trx2 Wbp7	Mus musculus (Mouse)	2713
Q80WV7	Q80WV7	reviewed	SRRM3_MOUSE	Serine/arginine repetitive matrix protein 3	Srrm3 MNCb-4760	Mus musculus (Mouse)	648
Q9WTK2	Q9WTK2	reviewed	CDYL_MOUSE	Chromodomain Y-like protein (CDY-like) (Crotonyl-CoA hydratase) (EC 4.2.1.-) (Putative histone acetyltransferase Cdyl) (EC 2.3.1.48)	Cdyl	Mus musculus (Mouse)	593
Q8C7U1	Q8C7U1	reviewed	N4BP3_MOUSE	NEDD4-binding protein 3 (N4BP3)	N4bp3	Mus musculus (Mouse)	537
Q99JF8	Q99JF8	reviewed	PSIP1_MOUSE	PC4 and SFRS1-interacting protein (Lens epithelium-derived growth factor) (mLEDGF)	Psip1 Ledgf	Mus musculus (Mouse)	528
Q8BVZ1	Q8BVZ1	reviewed	PLIN5_MOUSE	Perilipin-5 (Lipid droplet-associated protein PAT-1) (Lipid storage droplet protein 5) (Myocardial LD protein)	Plin5 Lsdp5 Mldp Oxpat Pat1	Mus musculus (Mouse)	463
Q3UD01	Q3UD01	reviewed	A7L3B_MOUSE	Ataxin-7-like protein 3B	Atxn7l3b	Mus musculus (Mouse)	97
Q8C854	Q8C854	reviewed	MYEF2_MOUSE	Myelin expression factor 2 (MEF-2) (MyEF-2)	Myef2 Kiaa1341 Mef2	Mus musculus (Mouse)	591
Q6PHZ5	Q6PHZ5	reviewed	RB15B_MOUSE	Putative RNA-binding protein 15B (RNA-binding motif protein 15B)	Rbm15b	Mus musculus (Mouse)	887
Q68FH0	Q68FH0	reviewed	PKP4_MOUSE	Plakophilin-4 (Armadillo-related protein)	Pkp4 Armrp	Mus musculus (Mouse)	1190
Q99J47	Q99J47	reviewed	DRS7B_MOUSE	Dehydrogenase/reductase SDR family member 7B (EC 1.1.-.-) (Short-chain dehydrogenase/reductase family 32C member 1) (Protein SDR32C1)	Dhrs7b Sdr32c1	Mus musculus (Mouse)	323
E9Q394	E9Q394	reviewed	AKP13_MOUSE	A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc)	Akap13 Brx	Mus musculus (Mouse)	2776
P70444	P70444	reviewed	BID_MOUSE	BH3-interacting domain death agonist (p22 BID) (BID) [Cleaved into: BH3-interacting domain death agonist p15 (p15 BID); BH3-interacting domain death agonist p13 (p13 BID); BH3-interacting domain death agonist p11 (p11 BID)]	Bid	Mus musculus (Mouse)	195
Q80U49	Q80U49	reviewed	C170B_MOUSE	Centrosomal protein of 170 kDa protein B (Centrosomal protein 170B) (Cep170B)	Cep170b Kiaa0284	Mus musculus (Mouse)	1574
Q8CIE4	Q8CIE4	reviewed	PAR10_MOUSE	Protein mono-ADP-ribosyltransferase PARP10 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 10) (ARTD10) (Poly [ADP-ribose] polymerase 10) (PARP-10)	Parp10	Mus musculus (Mouse)	960
Q9QXM1	Q9QXM1	reviewed	JMY_MOUSE	Junction-mediating and -regulatory protein	Jmy	Mus musculus (Mouse)	983
Q6P6M5	Q6P6M5	reviewed	PX11C_MOUSE	Peroxisomal membrane protein 11C (Peroxin-11C) (Peroxisomal biogenesis factor 11C) (Protein PEX11 homolog gamma) (PEX11-gamma)	Pex11g Pex11c	Mus musculus (Mouse)	241
Q9ERG0	Q9ERG0	reviewed	LIMA1_MOUSE	LIM domain and actin-binding protein 1 (Epithelial protein lost in neoplasm) (mEPLIN)	Lima1 D15Ertd366e Eplin	Mus musculus (Mouse)	753
P70399	P70399	reviewed	TP53B_MOUSE	TP53-binding protein 1 (53BP1) (p53-binding protein 1) (p53BP1)	Tp53bp1 Trp53bp1	Mus musculus (Mouse)	1969
P09041	P09041	reviewed	PGK2_MOUSE	Phosphoglycerate kinase 2 (EC 2.7.2.3) (Phosphoglycerate kinase, testis specific)	Pgk2 Pgk-2	Mus musculus (Mouse)	417
P59114	P59114	reviewed	CAPAM_MOUSE	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase (EC 2.1.1.62) (Cap-specific adenosine methyltransferase) (CAPAM) (Phosphorylated CTD-interacting factor 1)	Pcif1	Mus musculus (Mouse)	706
Q62073	Q62073	reviewed	M3K7_MOUSE	Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)	Map3k7 Tak1	Mus musculus (Mouse)	579
Q9Z204	Q9Z204	reviewed	HNRPC_MOUSE	Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2)	Hnrnpc Hnrpc	Mus musculus (Mouse)	313
Q9CYI0	Q9CYI0	reviewed	NJMU_MOUSE	Protein Njmu-R1		Mus musculus (Mouse)	393
P97452	P97452	reviewed	BOP1_MOUSE	Ribosome biogenesis protein BOP1 (Block of proliferation 1 protein)	Bop1 Kiaa0124	Mus musculus (Mouse)	732
P97868	P97868	reviewed	RBBP6_MOUSE	E3 ubiquitin-protein ligase RBBP6 (EC 2.3.2.27) (Proliferation potential-related protein) (Protein P2P-R) (RING-type E3 ubiquitin transferase RBBP6) (Retinoblastoma-binding protein 6) (p53-associated cellular protein of testis)	Rbbp6 P2pr Pact	Mus musculus (Mouse)	1790
Q7TNV0	Q7TNV0	reviewed	DEK_MOUSE	Protein DEK	Dek	Mus musculus (Mouse)	380
E9Q5K9	E9Q5K9	reviewed	YTDC1_MOUSE	YTH domain-containing protein 1	Ythdc1 Kiaa1966	Mus musculus (Mouse)	736
Q6PD29	Q6PD29	reviewed	ZN513_MOUSE	Zinc finger protein 513	Znf513 Zfp513	Mus musculus (Mouse)	541
Q569Z6	Q569Z6	reviewed	TR150_MOUSE	Thyroid hormone receptor-associated protein 3 (Thyroid hormone receptor-associated protein complex 150 kDa component) (Trap150)	Thrap3 Trap150	Mus musculus (Mouse)	951
Q3UL36	Q3UL36	reviewed	ARGL1_MOUSE	Arginine and glutamate-rich protein 1	Arglu1	Mus musculus (Mouse)	271
Q8K3G5	Q8K3G5	reviewed	VRK3_MOUSE	Inactive serine/threonine-protein kinase VRK3 (Serine/threonine-protein pseudokinase VRK3) (Vaccinia-related kinase 3)	Vrk3	Mus musculus (Mouse)	453
Q61315	Q61315	reviewed	APC_MOUSE	Adenomatous polyposis coli protein (Protein APC) (mAPC)	Apc	Mus musculus (Mouse)	2845
Q6IE82	Q6IE82	reviewed	JADE3_MOUSE	Protein Jade-3 (Jade family PHD finger protein 3) (PHD finger protein 16)	Jade3 Kiaa0215 Phf16	Mus musculus (Mouse)	823
Q0VGY8	Q0VGY8	reviewed	TANC1_MOUSE	Protein TANC1 (Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 1)	Tanc1	Mus musculus (Mouse)	1856
Q80TI1	Q80TI1	reviewed	PKHH1_MOUSE	Pleckstrin homology domain-containing family H member 1 (PH domain-containing family H member 1)	Plekhh1 Kiaa1200	Mus musculus (Mouse)	1356
Q91Z67	Q91Z67	reviewed	SRGP2_MOUSE	SLIT-ROBO Rho GTPase-activating protein 2 (srGAP2) (Formin-binding protein 2) (Formin-binding protein 27) (FBP-27)	Srgap2 Fbp27 Fnbp2	Mus musculus (Mouse)	1071
Q6PFD9	Q6PFD9	reviewed	NUP98_MOUSE	Nuclear pore complex protein Nup98-Nup96 (EC 3.4.21.-) [Cleaved into: Nuclear pore complex protein Nup98 (98 kDa nucleoporin) (Nucleoporin Nup98) (Nup98); Nuclear pore complex protein Nup96 (96 kDa nucleoporin) (Nucleoporin Nup96) (Nup96)]	Nup98	Mus musculus (Mouse)	1816
Q8BYC6	Q8BYC6	reviewed	TAOK3_MOUSE	Serine/threonine-protein kinase TAO3 (EC 2.7.11.1) (Thousand and one amino acid protein 3)	Taok3	Mus musculus (Mouse)	898
Q6ZQ29	Q6ZQ29	reviewed	TAOK2_MOUSE	Serine/threonine-protein kinase TAO2 (EC 2.7.11.1) (Thousand and one amino acid protein 2)	Taok2 Kiaa0881	Mus musculus (Mouse)	1240
Q9QX47	Q9QX47	reviewed	SON_MOUSE	Protein SON (Negative regulatory element-binding protein) (NRE-binding protein)	Son Nrebp	Mus musculus (Mouse)	2444
Q9WU62	Q9WU62	reviewed	INCE_MOUSE	Inner centromere protein	Incenp	Mus musculus (Mouse)	880
Q7TQG1	Q7TQG1	reviewed	PKHA6_MOUSE	Pleckstrin homology domain-containing family A member 6 (PH domain-containing family A member 6) (Phosphoinositol 3-phosphate-binding protein 3) (PEPP-3)	Plekha6 Pepp3	Mus musculus (Mouse)	1173
Q61084	Q61084	reviewed	M3K3_MOUSE	Mitogen-activated protein kinase kinase kinase 3 (EC 2.7.11.25) (MAPK/ERK kinase kinase 3) (MEK kinase 3) (MEKK 3)	Map3k3 Mekk3	Mus musculus (Mouse)	626
Q4QY64	Q4QY64	reviewed	ATAD5_MOUSE	ATPase family AAA domain-containing protein 5 (Chromosome fragility-associated gene 1 protein)	Atad5 Frag1	Mus musculus (Mouse)	1826
Q8VEE4	Q8VEE4	reviewed	RFA1_MOUSE	Replication protein A 70 kDa DNA-binding subunit (RP-A p70) (Replication factor A protein 1) (RF-A protein 1)	Rpa1	Mus musculus (Mouse)	623
Q5F2F2	Q5F2F2	reviewed	ABH15_MOUSE	Protein ABHD15 (Alpha/beta hydrolase domain-containing protein 15) (Abhydrolase domain-containing protein 15)	Abhd15	Mus musculus (Mouse)	459
Q6PDI6	Q6PDI6	reviewed	MINY2_MOUSE	Ubiquitin carboxyl-terminal hydrolase MINDY-2 (EC 3.4.19.12) (Deubiquitinating enzyme MINDY-2) (Protein FAM63B)	Mindy2 Fam63b Kiaa1164	Mus musculus (Mouse)	601
Q9WV70	Q9WV70	reviewed	NOC2L_MOUSE	Nucleolar complex protein 2 homolog (Protein NOC2 homolog) (NOC2-like protein) (Novel INHAT repressor)	Noc2l Nir	Mus musculus (Mouse)	747
Q6EJB6	Q6EJB6	reviewed	UT14B_MOUSE	U3 small nucleolar RNA-associated protein 14 homolog B (Juvenile spermatogonial depletion protein)	Utp14b Jsd	Mus musculus (Mouse)	756
Q80U72	Q80U72	reviewed	SCRIB_MOUSE	Protein scribble homolog (Scribble) (Protein LAP4)	Scrib Kiaa0147 Lap4 Scrib1	Mus musculus (Mouse)	1612
O88495	O88495	reviewed	MTR1L_MOUSE	Melatonin-related receptor (G protein-coupled receptor 50) (H9)	Gpr50	Mus musculus (Mouse)	591
Q7TSH6	Q7TSH6	reviewed	SCAF4_MOUSE	SR-related and CTD-associated factor 4 (CTD-binding SR-like protein RA4) (Splicing factor, arginine/serine-rich 15)	Scaf4 Kiaa1172 Srsf15	Mus musculus (Mouse)	1183
Q8C0T5	Q8C0T5	reviewed	SI1L1_MOUSE	Signal-induced proliferation-associated 1-like protein 1 (SIPA1-like protein 1)	Sipa1l1 Kiaa0440	Mus musculus (Mouse)	1782
Q6PDM2	Q6PDM2	reviewed	SRSF1_MOUSE	Serine/arginine-rich splicing factor 1 (ASF/SF2) (Pre-mRNA-splicing factor SRp30a) (Splicing factor, arginine/serine-rich 1)	Srsf1 Sfrs1	Mus musculus (Mouse)	248
Q6R0H7	Q6R0H7	reviewed	GNAS1_MOUSE	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas (Adenylate cyclase-stimulating G alpha protein) (Extra large alphas protein) (XLalphas)	Gnas Gnas1	Mus musculus (Mouse)	1133
Q6PDL0	Q6PDL0	reviewed	DC1L2_MOUSE	Cytoplasmic dynein 1 light intermediate chain 2 (Dynein light intermediate chain 2, cytosolic)	Dync1li2 Dncli2 Dnclic2	Mus musculus (Mouse)	492
Q80XP8	Q80XP8	reviewed	FA76B_MOUSE	Protein FAM76B	Fam76b	Mus musculus (Mouse)	339
