From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q6P4S6	Q6P4S6	reviewed	SIK3_MOUSE	Serine/threonine-protein kinase SIK3 (EC 2.7.11.1) (Salt-inducible kinase 3) (SIK-3) (Serine/threonine-protein kinase QSK)	Sik3 Kiaa0999 Qsk	Mus musculus (Mouse)	1369
O88487	O88487	reviewed	DC1I2_MOUSE	Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)	Dync1i2 Dnci2 Dncic2	Mus musculus (Mouse)	612
Q99JF8	Q99JF8	reviewed	PSIP1_MOUSE	PC4 and SFRS1-interacting protein (Lens epithelium-derived growth factor) (mLEDGF)	Psip1 Ledgf	Mus musculus (Mouse)	528
P35564	P35564	reviewed	CALX_MOUSE	Calnexin	Canx	Mus musculus (Mouse)	591
Q91YU8	Q91YU8	reviewed	SSF1_MOUSE	Suppressor of SWI4 1 homolog (Ssf-1) (Peter Pan homolog)	Ppan Ssf1	Mus musculus (Mouse)	470
P67871	P67871	reviewed	CSK2B_MOUSE	Casein kinase II subunit beta (CK II beta) (Phosvitin)	Csnk2b Ck2n	Mus musculus (Mouse)	215
Q9EPU4	Q9EPU4	reviewed	CPSF1_MOUSE	Cleavage and polyadenylation specificity factor subunit 1 (Cleavage and polyadenylation specificity factor 160 kDa subunit) (CPSF 160 kDa subunit)	Cpsf1 Cpsf160	Mus musculus (Mouse)	1441
Q9CQV4	Q9CQV4	reviewed	RETR3_MOUSE	Reticulophagy regulator 3	Retreg3 Fam134c	Mus musculus (Mouse)	466
Q9DB85	Q9DB85	reviewed	RRP8_MOUSE	Ribosomal RNA-processing protein 8 (EC 2.1.1.-) (Cerebral protein 1 homolog)	Rrp8	Mus musculus (Mouse)	457
Q9QYE5	Q9QYE5	reviewed	JAG2_MOUSE	Protein jagged-2 (Jagged2)	Jag2	Mus musculus (Mouse)	1247
B2RU40	B2RU40	reviewed	PRRT4_MOUSE	Proline-rich transmembrane protein 4	Prrt4	Mus musculus (Mouse)	902
Q8BRT1	Q8BRT1	reviewed	CLAP2_MOUSE	CLIP-associating protein 2 (Cytoplasmic linker-associated protein 2)	Clasp2 Kiaa0627	Mus musculus (Mouse)	1286
Q9JIX8	Q9JIX8	reviewed	ACINU_MOUSE	Apoptotic chromatin condensation inducer in the nucleus (Acinus)	Acin1 Acinus	Mus musculus (Mouse)	1338
Q8BZ32	Q8BZ32	reviewed	ASXL2_MOUSE	Putative Polycomb group protein ASXL2 (Additional sex combs-like protein 2)	Asxl2 Kiaa1685	Mus musculus (Mouse)	1370
Q91X51	Q91X51	reviewed	GORS1_MOUSE	Golgi reassembly-stacking protein 1 (Golgi peripheral membrane protein p65) (Golgi reassembly-stacking protein of 65 kDa) (GRASP65)	Gorasp1	Mus musculus (Mouse)	446
Q6ZQ88	Q6ZQ88	reviewed	KDM1A_MOUSE	Lysine-specific histone demethylase 1A (EC 1.14.99.66) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2)	Kdm1a Aof2 Kiaa0601 Lsd1	Mus musculus (Mouse)	853
Q3TLD5	Q3TLD5	reviewed	RMP_MOUSE	Unconventional prefoldin RPB5 interactor (Protein NNX3) (Protein phosphatase 1 regulatory subunit 19) (RNA polymerase II subunit 5-mediating protein) (RPB5-mediating protein)	Uri1 Nnx3 Ppp1r19 Rmp Uri	Mus musculus (Mouse)	531
P14873	P14873	reviewed	MAP1B_MOUSE	Microtubule-associated protein 1B (MAP-1B) (MAP1(X)) (MAP1.2) [Cleaved into: MAP1B heavy chain; MAP1 light chain LC1]	Map1b Mtap1b Mtap5	Mus musculus (Mouse)	2464
Q8N7N5	Q8N7N5	reviewed	DCAF8_MOUSE	DDB1- and CUL4-associated factor 8 (WD repeat-containing protein 42A)	Dcaf8 D1Ucla4 H326 Wdr42a	Mus musculus (Mouse)	591
Q9ES00	Q9ES00	reviewed	UBE4B_MOUSE	Ubiquitin conjugation factor E4 B (EC 2.3.2.27) (RING-type E3 ubiquitin transferase E4 B) (Ubiquitin fusion degradation protein 2)	Ube4b Ufd2 Ufd2a	Mus musculus (Mouse)	1173
Q922J3	Q922J3	reviewed	CLIP1_MOUSE	CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 170) (CLIP-170) (Restin)	Clip1 Kiaa4046 Rsn	Mus musculus (Mouse)	1391
O88559	O88559	reviewed	MEN1_MOUSE	Menin	Men1	Mus musculus (Mouse)	611
O35295	O35295	reviewed	PURB_MOUSE	Transcriptional activator protein Pur-beta (Purine-rich element-binding protein B) (Vascular actin single-stranded DNA-binding factor 2 p44 component)	Purb	Mus musculus (Mouse)	324
P18608	P18608	reviewed	HMGN1_MOUSE	Non-histone chromosomal protein HMG-14 (High mobility group nucleosome-binding domain-containing protein 1)	Hmgn1 Hmg-14 Hmg14	Mus musculus (Mouse)	96
Q61699	Q61699	reviewed	HS105_MOUSE	Heat shock protein 105 kDa (42 degrees C-HSP) (Heat shock 110 kDa protein) (Heat shock-related 100 kDa protein E7I) (HSP-E7I)	Hsph1 Hsp105 Hsp110 Kiaa0201	Mus musculus (Mouse)	858
E9QAT4	E9QAT4	reviewed	SC16A_MOUSE	Protein transport protein Sec16A (SEC16 homolog A) (p250)	Sec16a Kiaa0310 Sec16	Mus musculus (Mouse)	2357
Q91W96	Q91W96	reviewed	APC4_MOUSE	Anaphase-promoting complex subunit 4 (APC4) (Cyclosome subunit 4)	Anapc4 D5Ertd249e	Mus musculus (Mouse)	807
Q8K1M6	Q8K1M6	reviewed	DNM1L_MOUSE	Dynamin-1-like protein (EC 3.6.5.5) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-related protein 1)	Dnm1l Drp1	Mus musculus (Mouse)	742
Q6PDQ2	Q6PDQ2	reviewed	CHD4_MOUSE	Chromodomain-helicase-DNA-binding protein 4 (CHD-4) (EC 3.6.4.12)	Chd4	Mus musculus (Mouse)	1915
Q99KG5	Q99KG5	reviewed	LSR_MOUSE	Lipolysis-stimulated lipoprotein receptor (Angulin-3) (Lipolysis-stimulated receptor) (Liver-specific bHLH-Zip transcription factor) (Liver-specific gene on mouse chromosome 7 protein)	Lsr Ildr3 Lisch7	Mus musculus (Mouse)	594
Q6GYP7	Q6GYP7	reviewed	RGPA1_MOUSE	Ral GTPase-activating protein subunit alpha-1 (GAP-related-interacting partner to E12) (GRIPE) (GTPase-activating RapGAP domain-like 1) (Tuberin-like protein 1) (p240)	Ralgapa1 Garnl1 Kiaa0884 Tulip1	Mus musculus (Mouse)	2035
Q6PAR5	Q6PAR5	reviewed	GAPD1_MOUSE	GTPase-activating protein and VPS9 domain-containing protein 1 (GAPex-5) (Rab5-activating protein 6)	Gapvd1 Gapex5 Kiaa1521	Mus musculus (Mouse)	1458
Q569Z6	Q569Z6	reviewed	TR150_MOUSE	Thyroid hormone receptor-associated protein 3 (Thyroid hormone receptor-associated protein complex 150 kDa component) (Trap150)	Thrap3 Trap150	Mus musculus (Mouse)	951
Q9DBR7	Q9DBR7	reviewed	MYPT1_MOUSE	Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1)	Ppp1r12a Mypt1	Mus musculus (Mouse)	1029
O88574	O88574	reviewed	SAP30_MOUSE	Histone deacetylase complex subunit SAP30 (30 kDa Sin3-associated polypeptide) (Sin3 corepressor complex subunit SAP30) (Sin3-associated polypeptide p30)	Sap30	Mus musculus (Mouse)	220
P98203	P98203	reviewed	ARVC_MOUSE	Splicing regulator ARVCF (Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog)	Arvcf	Mus musculus (Mouse)	962
O55187	O55187	reviewed	CBX4_MOUSE	E3 SUMO-protein ligase CBX4 (EC 2.3.2.-) (Chromobox protein homolog 4) (E3 SUMO-protein transferase CBX4) (Polycomb 2 homolog) (Pc2) (mPc2)	Cbx4 Pc2	Mus musculus (Mouse)	551
Q80TV8	Q80TV8	reviewed	CLAP1_MOUSE	CLIP-associating protein 1 (Cytoplasmic linker-associated protein 1)	Clasp1 Kiaa0622	Mus musculus (Mouse)	1535
Q9D6W8	Q9D6W8	reviewed	BORC6_MOUSE	BLOC-1-related complex subunit 6	Borcs6	Mus musculus (Mouse)	360
Q6A0D4	Q6A0D4	reviewed	RFTN1_MOUSE	Raftlin (Raft-linking protein)	Rftn1 Kiaa0084	Mus musculus (Mouse)	554
Q3UIA2	Q3UIA2	reviewed	RHG17_MOUSE	Rho GTPase-activating protein 17 (Neuron-associated developmentally-regulated protein) (Nadrin) (Rho-type GTPase-activating protein 17)	Arhgap17	Mus musculus (Mouse)	846
P39053	P39053	reviewed	DYN1_MOUSE	Dynamin-1 (EC 3.6.5.5)	Dnm1 Dnm Kiaa4093	Mus musculus (Mouse)	867
Q9Z2D6	Q9Z2D6	reviewed	MECP2_MOUSE	Methyl-CpG-binding protein 2 (MeCp-2 protein) (MeCp2)	Mecp2	Mus musculus (Mouse)	484
Q9Z1Z0	Q9Z1Z0	reviewed	USO1_MOUSE	General vesicular transport factor p115 (Protein USO1 homolog) (Transcytosis-associated protein) (TAP) (Vesicle-docking protein)	Uso1 Vdp	Mus musculus (Mouse)	959
Q8BXN9	Q8BXN9	reviewed	TM87A_MOUSE	Transmembrane protein 87A	Tmem87a	Mus musculus (Mouse)	555
Q52KI8	Q52KI8	reviewed	SRRM1_MOUSE	Serine/arginine repetitive matrix protein 1 (Plenty-of-prolines 101)	Srrm1 Pop101	Mus musculus (Mouse)	946
Q9Z0W3	Q9Z0W3	reviewed	NU160_MOUSE	Nuclear pore complex protein Nup160 (160 kDa nucleoporin) (Gene trap locus 1-13 protein) (GTL-13) (Nucleoporin Nup160)	Nup160 Gtl1-13 Kiaa0197	Mus musculus (Mouse)	1402
O09106	O09106	reviewed	HDAC1_MOUSE	Histone deacetylase 1 (HD1) (EC 3.5.1.98) (Protein deacetylase HDAC1) (EC 3.5.1.-) (Protein decrotonylase HDAC1) (EC 3.5.1.-)	Hdac1	Mus musculus (Mouse)	482
Q569Z5	Q569Z5	reviewed	DDX46_MOUSE	Probable ATP-dependent RNA helicase DDX46 (EC 3.6.4.13) (DEAD box protein 46)	Ddx46 Kiaa0801	Mus musculus (Mouse)	1032
Q9JME5	Q9JME5	reviewed	AP3B2_MOUSE	AP-3 complex subunit beta-2 (Adaptor protein complex AP-3 subunit beta-2) (Adaptor-related protein complex 3 subunit beta-2) (Beta-3B-adaptin) (Clathrin assembly protein complex 3 beta-2 large chain)	Ap3b2	Mus musculus (Mouse)	1082
Q6PIU9	Q6PIU9	reviewed	YJ005_MOUSE	Uncharacterized protein FLJ45252 homolog		Mus musculus (Mouse)	354
P58501	P58501	reviewed	PAXB1_MOUSE	PAX3- and PAX7-binding protein 1 (PAX3/7BP) (GC-rich sequence DNA-binding factor 1)	Paxbp1 Gcfc Gcfc1	Mus musculus (Mouse)	919
Q4U2R1	Q4U2R1	reviewed	HERC2_MOUSE	E3 ubiquitin-protein ligase HERC2 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 2) (HECT-type E3 ubiquitin transferase HERC2)	Herc2 Jdf2 Kiaa0393 Rjs	Mus musculus (Mouse)	4836
Q6A026	Q6A026	reviewed	PDS5A_MOUSE	Sister chromatid cohesion protein PDS5 homolog A	Pds5a Kiaa0648	Mus musculus (Mouse)	1332
P23708	P23708	reviewed	NFYA_MOUSE	Nuclear transcription factor Y subunit alpha (CAAT box DNA-binding protein subunit A) (Nuclear transcription factor Y subunit A) (NF-YA)	Nfya	Mus musculus (Mouse)	346
Q8VDP4	Q8VDP4	reviewed	CCAR2_MOUSE	Cell cycle and apoptosis regulator protein 2 (Cell division cycle and apoptosis regulator protein 2)	Ccar2	Mus musculus (Mouse)	922
Q8C9B9	Q8C9B9	reviewed	DIDO1_MOUSE	Death-inducer obliterator 1 (DIO-1) (Death-associated transcription factor 1) (DATF-1)	Dido1 Datf1 Dio1	Mus musculus (Mouse)	2256
P27546	P27546	reviewed	MAP4_MOUSE	Microtubule-associated protein 4 (MAP-4)	Map4 Mtap4	Mus musculus (Mouse)	1125
B2RQC6	B2RQC6	reviewed	PYR1_MOUSE	CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)]	Cad	Mus musculus (Mouse)	2225
Q64012	Q64012	reviewed	RALY_MOUSE	RNA-binding protein Raly (Maternally-expressed hnRNP C-related protein) (hnRNP associated with lethal yellow protein)	Raly Merc	Mus musculus (Mouse)	312
Q8BR65	Q8BR65	reviewed	SDS3_MOUSE	Sin3 histone deacetylase corepressor complex component SDS3 (Suppressor of defective silencing 3 protein homolog)	Suds3 Sds3	Mus musculus (Mouse)	328
Q64127	Q64127	reviewed	TIF1A_MOUSE	Transcription intermediary factor 1-alpha (TIF1-alpha) (EC 2.3.2.27) (E3 ubiquitin-protein ligase Trim24) (RING-type E3 ubiquitin transferase TIF1-alpha) (Tripartite motif-containing protein 24)	Trim24 Tif1 Tif1a	Mus musculus (Mouse)	1051
Q8C4Y3	Q8C4Y3	reviewed	NELFB_MOUSE	Negative elongation factor B (NELF-B) (Cofactor of BRCA1)	Nelfb Cobra1 MNCb-5210	Mus musculus (Mouse)	580
Q8BTI8	Q8BTI8	reviewed	SRRM2_MOUSE	Serine/arginine repetitive matrix protein 2	Srrm2 Kiaa0324	Mus musculus (Mouse)	2703
Q3UPL0	Q3UPL0	reviewed	SC31A_MOUSE	Protein transport protein Sec31A (SEC31-like protein 1) (SEC31-related protein A)	Sec31a Sec31l1	Mus musculus (Mouse)	1230
Q60875	Q60875	reviewed	ARHG2_MOUSE	Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1) (GEF-H1) (LBC'S first cousin) (Lymphoid blast crisis-like 1) (Oncogene LFC) (Rhobin)	Arhgef2 Kiaa0651 Lbcl1 Lfc	Mus musculus (Mouse)	985
O70305	O70305	reviewed	ATX2_MOUSE	Ataxin-2 (Spinocerebellar ataxia type 2 protein homolog)	Atxn2 Atx2 Sca2	Mus musculus (Mouse)	1285
Q69ZX6	Q69ZX6	reviewed	MOR2A_MOUSE	ATPase MORC2A (EC 3.6.1.-) (MORC family CW-type zinc finger protein 2A) (Zinc finger CW-type coiled-coil domain protein 1)	Morc2a Kiaa0852 Zcwcc1	Mus musculus (Mouse)	1030
P37913	P37913	reviewed	DNLI1_MOUSE	DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1)	Lig1 Lig-1	Mus musculus (Mouse)	916
Q68FH0	Q68FH0	reviewed	PKP4_MOUSE	Plakophilin-4 (Armadillo-related protein)	Pkp4 Armrp	Mus musculus (Mouse)	1190
O35226	O35226	reviewed	PSMD4_MOUSE	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Multiubiquitin chain-binding protein)	Psmd4 Mcb1	Mus musculus (Mouse)	376
Q80YV2	Q80YV2	reviewed	ZC3C1_MOUSE	Zinc finger C3HC-type protein 1 (Nuclear-interacting partner of ALK) (mNIPA) (Nuclear-interacting partner of anaplastic lymphoma kinase)	Zc3hc1 Nipa	Mus musculus (Mouse)	501
Q62511	Q62511	reviewed	ZFP91_MOUSE	E3 ubiquitin-protein ligase ZFP91 (EC 2.3.2.27) (Penta Zf protein) (RING-type E3 ubiquitin transferase ZFP91) (Zinc finger protein 91 homolog) (Zfp-91) (Zinc finger protein PZF)	Zfp91 Pzf	Mus musculus (Mouse)	572
Q9DCL8	Q9DCL8	reviewed	IPP2_MOUSE	Protein phosphatase inhibitor 2 (IPP-2)	Ppp1r2	Mus musculus (Mouse)	206
Q99MR1	Q99MR1	reviewed	GGYF1_MOUSE	GRB10-interacting GYF protein 1 (PERQ amino acid-rich with GYF domain-containing protein 1)	Gigyf1 Kiaa4110 Perq1	Mus musculus (Mouse)	1044
Q640M1	Q640M1	reviewed	UT14A_MOUSE	U3 small nucleolar RNA-associated protein 14 homolog A (Juvenile spermatogonial depletion-like X-linked protein) (Jsd-like X-linked protein)	Utp14a JsdX Kiaa0266	Mus musculus (Mouse)	767
Q5HZI2	Q5HZI2	reviewed	C2C4C_MOUSE	C2 calcium-dependent domain-containing protein 4C (Nuclear-localized factor 3) (Protein FAM148C)	C2cd4c Fam148c Nlf3	Mus musculus (Mouse)	419
Q7TSC1	Q7TSC1	reviewed	PRC2A_MOUSE	Protein PRRC2A (HLA-B-associated transcript 2) (Proline-rich and coiled-coil-containing protein 2A)	Prrc2a Bat2	Mus musculus (Mouse)	2158
Q8C1D8	Q8C1D8	reviewed	IWS1_MOUSE	Protein IWS1 homolog (IWS1-like protein)	Iws1 Iws1l	Mus musculus (Mouse)	766
Q8JZX4	Q8JZX4	reviewed	SPF45_MOUSE	Splicing factor 45 (45 kDa-splicing factor) (RNA-binding motif protein 17)	Rbm17 Spf45	Mus musculus (Mouse)	405
P58929	P58929	reviewed	GMEB2_MOUSE	Glucocorticoid modulatory element-binding protein 2 (GMEB-2)	Gmeb2	Mus musculus (Mouse)	530
